ZONE ID,TYPE,OPERATING TIMES,LATITUDE,LONGITUDE
0,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46190802,153.0344428
1,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46233722,153.0343043
2,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46230097,153.0340583
3,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.46203785,153.0322283
5,COMMERCIAL,7AM-7PM MON-SAT,-27.46244253,153.0315782
6,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46274142,153.0322709
7,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46290513,153.0325995
9,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46337341,153.031648
10,COMMERCIAL AND PASSENGER,"12AM-7AM 9AM-4PM 6PM-12AM MON-FRI, SAT-SUN",-27.46438778,153.0312388
11,COMMERCIAL,MON-SAT,-27.4645492,153.0314185
12,COMMERCIAL,9AM-4PM MON-SAT,-27.46381491,153.0310946
13,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46212647,153.0305744
14,COMMERCIAL AND PASSENGER,11AM-2PM MON-FRI,-27.4631822,153.0300268
15,COMMERCIAL,9AM-4PM MON-SAT,-27.46277538,153.0291748
16,COMMERCIAL,9AM-4PM MON-SAT,-27.46238812,153.0295897
18,COMMERCIAL,"12AM-7AM 9AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.46460807,153.0293339
20,COMMERCIAL AND PASSENGER,11AM-2PM MON-SAT,-27.46446388,153.0285701
21,COMMERCIAL AND PASSENGER,12AM-7AM 11AM-2PM 7PM-12AM MON-SAT,-27.46498307,153.0278938
22,COMMERCIAL,"11AM-2PM MON-FRI, 7AM-12PM SAT",-27.46499473,153.0276861
24,COMMERCIAL AND PASSENGER,5AM-4PM MON-FRI,-27.46577591,153.02751
25,COMMERCIAL,5AM-4PM MON-FRI,-27.4659389,153.027668
27,COMMERCIAL,"5AM-7PM MON-FRI, 8AM-7PM SAT",-27.46509396,153.0282863
28,COMMERCIAL,5AM-7PM MON-FRI,-27.46539306,153.0284748
29,COMMERCIAL AND PASSENGER,9AM-4PM MON-FRI,-27.46519544,153.0297461
30,COMMERCIAL AND PASSENGER,9AM-4PM MON-SAT,-27.4653532,153.029896
31,COMMERCIAL AND PASSENGER,9AM-4PM MON-FRI,-27.46553202,153.030073
33,COMMERCIAL AND PASSENGER,5AM-7PM MON-SAT,-27.46524865,153.0290082
34,COMMERCIAL AND PASSENGER,5AM-7PM MON-SAT,-27.4654184,153.0287931
35,COMMERCIAL,5AM-7PM MON-SAT,-27.46552372,153.0289048
36,COMMERCIAL,7AM-7PM MON-SAT,-27.46574339,153.0269634
38,COMMERCIAL AND PASSENGER,"11AM-2PM MON-FRI, 7AM-7PM SAT",-27.46575433,153.0267066
39,COMMERCIAL,"11AM-2PM MON-FRI, 7AM-12PM SAT",-27.46633635,153.0259535
41,COMMERCIAL,10AM-2PM MON-FRI,-27.46708785,153.0258075
42,COMMERCIAL,"12AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.46742365,153.02646
43,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46685707,153.0269443
44,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46654165,153.0273456
45,COMMERCIAL,5AM-7PM MON-FRI,-27.46648496,153.028205
46,COMMERCIAL,5AM-7PM MON-SAT,-27.46686835,153.0289342
47,COMMERCIAL AND PASSENGER,"10AM-2PM MON-FRI, 7AM-7PM SAT",-27.46724338,153.0287766
48,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46756579,153.029567
49,COMMERCIAL AND PASSENGER,"12AM-7AM 7PM-12AM MON-FRI, SAT-SUN",-27.46687939,153.0299898
50,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46694183,153.0299732
51,COMMERCIAL AND PASSENGER,7AM-7PM MON-SAT,-27.46680655,153.0302137
52,COMMERCIAL AND PASSENGER,"5AM-4PM MON-FRI, 5AM-11AM SAT",-27.4652625,153.030767
53,COMMERCIAL,"12AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.46609419,153.0299218
54,COMMERCIAL,9AM-4PM MON-FRI,-27.46603502,153.0297642
55,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.46624278,153.0295026
56,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.46641872,153.0295069
57,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46652663,153.0291331
59,COMMERCIAL,7AM-7PM MON-FRI,-27.46466903,153.0255697
61,COMMERCIAL,7AM-7PM MON-FRI,-27.46460687,153.026247
62,COMMERCIAL,7AM-7PM MON-FRI,-27.46456451,153.0267315
65,COMMERCIAL,9AM-4PM MON-FRI,-27.46587737,153.0250664
66,COMMERCIAL,7AM-7PM MON-FRI,-27.46521024,153.0247545
67,COMMERCIAL,5AM-7PM MON-FRI,-27.46541558,153.024686
68,COMMERCIAL,5AM-7PM MON-SAT,-27.46755778,153.0288544
69,COMMERCIAL AND PASSENGER,9AM-4PM MON-SAT,-27.46796795,153.0290439
