ZONE ID,TYPE,OPERATING TIMES,LATITUDE,LONGITUDE
0,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46190802,153.0344428
1,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46233722,153.0343043
2,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46230097,153.0340583
3,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.46203785,153.0322283
4,PASSENGER,7AM-7PM MON-FRI,-27.46228652,153.0319225
6,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46274142,153.0322709
7,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46290513,153.0325995
8,PASSENGER,AT ALL TIMES,-27.46354616,153.0319699
9,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46337341,153.031648
10,COMMERCIAL AND PASSENGER,"12AM-7AM 9AM-4PM 6PM-12AM MON-FRI, SAT-SUN",-27.46438778,153.0312388
13,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46212647,153.0305744
14,COMMERCIAL AND PASSENGER,11AM-2PM MON-FRI,-27.4631822,153.0300268
17,PASSENGER,AT ALL TIMES,-27.46304096,153.0286622
19,PASSENGER,"12AM-7AM 9AM-4PM 7PM-12AM MON-FRI, SAT-SUN",-27.46475988,153.0293175
20,COMMERCIAL AND PASSENGER,11AM-2PM MON-SAT,-27.46446388,153.0285701
21,COMMERCIAL AND PASSENGER,12AM-7AM 11AM-2PM 7PM-12AM MON-SAT,-27.46498307,153.0278938
23,PASSENGER,"12AM-7AM 9AM-4PM 6PM-12AM MON-FRI, SAT-SUN",-27.46569239,153.0274287
24,COMMERCIAL AND PASSENGER,5AM-4PM MON-FRI,-27.46577591,153.02751
26,PASSENGER,5AM-4PM MON-FRI,-27.46609761,153.0276435
29,COMMERCIAL AND PASSENGER,9AM-4PM MON-FRI,-27.46519544,153.0297461
30,COMMERCIAL AND PASSENGER,9AM-4PM MON-SAT,-27.4653532,153.029896
31,COMMERCIAL AND PASSENGER,9AM-4PM MON-FRI,-27.46553202,153.030073
32,PASSENGER,"6:30PM-6:30AM MON-SAT, SUN",-27.46526647,153.029241
33,COMMERCIAL AND PASSENGER,5AM-7PM MON-SAT,-27.46524865,153.0290082
34,COMMERCIAL AND PASSENGER,5AM-7PM MON-SAT,-27.4654184,153.0287931
37,PASSENGER,7AM-7PM MON-SAT,-27.46583571,153.0268449
38,COMMERCIAL AND PASSENGER,"11AM-2PM MON-FRI, 7AM-7PM SAT",-27.46575433,153.0267066
40,PASSENGER,AT ALL TIMES,-27.46726929,153.025822
43,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46685707,153.0269443
44,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46654165,153.0273456
47,COMMERCIAL AND PASSENGER,"10AM-2PM MON-FRI, 7AM-7PM SAT",-27.46724338,153.0287766
48,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46756579,153.029567
49,COMMERCIAL AND PASSENGER,"12AM-7AM 7PM-12AM MON-FRI, SAT-SUN",-27.46687939,153.0299898
50,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46694183,153.0299732
51,COMMERCIAL AND PASSENGER,7AM-7PM MON-SAT,-27.46680655,153.0302137
52,COMMERCIAL AND PASSENGER,"5AM-4PM MON-FRI, 5AM-11AM SAT",-27.4652625,153.030767
55,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.46624278,153.0295026
56,COMMERCIAL AND PASSENGER,5AM-7PM MON-FRI,-27.46641872,153.0295069
57,COMMERCIAL AND PASSENGER,AT ALL TIMES,-27.46652663,153.0291331
58,PASSENGER,AT ALL TIMES,-27.46484511,153.0253276
60,PASSENGER,AT ALL TIMES,-27.46463542,153.0259346
63,PASSENGER,AT ALL TIMES,-27.46454429,153.0269559
64,PASSENGER,9AM-4PM MON-FRI,-27.4657459,153.0252368
69,COMMERCIAL AND PASSENGER,9AM-4PM MON-SAT,-27.46796795,153.0290439
70,COMMERCIAL AND PASSENGER,9AM-4PM MON-SAT,-27.46851504,153.02834
72,COMMERCIAL AND PASSENGER,12AM-5AM DAILY,-27.4687348,153.0274185
73,COMMERCIAL AND PASSENGER,"12AM-4PM 6PM-12AM MON-FRI, SAT-SUN",-27.46868269,153.0272107
74,COMMERCIAL AND PASSENGER,"12AM-4PM 6PM-12AM MON-FRI, SAT-SUN",-27.46891933,153.0274431
75,COMMERCIAL AND PASSENGER,"12AM-7AM 10AM-4PM 8PM-12AM MON-FRI, SAT-SUN",-27.46926899,153.0279464
76,COMMERCIAL AND PASSENGER,5AM-4PM MON-FRI,-27.46951217,153.0281826
77,COMMERCIAL AND PASSENGER,"12AM-4PM 6PM-12AM MON-FRI, SAT-SUN",-27.46940724,153.0279147
79,COMMERCIAL AND PASSENGER,"5AM-7PM MON-FRI, 5AM-7PM SUN",-27.46944739,153.0290473
80,COMMERCIAL AND PASSENGER,"5AM-7PM MON-FRI, 5AM-7PM SUN",-27.46928446,153.0292525
82,COMMERCIAL AND PASSENGER,"5AM-7PM MON-FRI, 5AM-7PM SUN",-27.46947952,153.02978
